,states,x,y
0,Andaman and Nicobar Islands,178.0,-234.0
1,Andhra Pradesh,-57.0,-155.0
2,Arunachal Pradesh ,216.0,103.0
3,Assam,184.0,60.0
4,Bihar,62.0,45.0
5,Chandigarh,-105.0,146.0
6,Chhattisgarh,-9.0,-39.0
7,Dadra And Nagar Haveli,-184.0,-58.0
8,Daman And Diu,-187.0,-76.0
9,Goa,-147.0,-150.0
10,Gujarat,-191.0,-3.0
11,Haryana,-106.0,116.0
12,Himachal Pradesh,-90.0,175.0
13,Jammu And Kashmir,-133.0,220.0
14,Jharkhand,50.0,6.0
15,Karnataka,-120.0,-157.0
16,Kerala,-106.0,-236.0
17,Lakshadweep,-172.0,-238.0
18,Madhya Pradesh,-80.0,-1.0
19,Maharashtra,-127.0,-74.0
20,Manipur,202.0,26.0
21,Meghalaya,152.0,39.0
22,Mizoram,184.0,-3.0
23,Nagaland,215.0,55.0
24,Delhi,-94.0,102.0
25,Odisha,43.0,-54.0
26,Puducherry,-46.0,-212.0
27,Punjab,-125.0,154.0
28,Rajasthan,-160.0,69.0
29,Sikkim,104.0,83.0
30,Tamil Nadu,-72.0,-226.0
31,Telangana,-62.0,-100.0
32,Tripura,158.0,9.0
33,Uttar Pradesh,-37.0,79.0
34,Uttarakhand,-56.0,140.0
35,West Bengal,93.0,-1.0
